Cell_type,Genes
cTNI17 (gd-like T),"['CCL5', 'CD7', 'TMSB4X', 'IL32', 'HOPX', 'CD3D', 'HCST', 'KLRD1', 'CD52', 'GZMA', 'KLRC2', 'RPLP2', 'CD3E', 'NKG7', 'RPS19', 'TRDC', 'EVL', 'ID2', 'AC092580.4', 'BTG1', 'RPLP1', 'CD69', 'TRGC2', 'TRBC2', 'RPS27', 'RGS1', 'B2M', 'RPS27A', 'CD3G', 'CD160', 'RPS15A', 'SRGN', 'EEF1A1', 'CORO1A', 'RPL21', 'GPR171', 'RPL13', 'RPS3', 'RARRES3', 'RPS3A', 'ARHGDIB', 'CD96', 'ITGA1', 'RPL10', 'ACTB', 'RPL13A', 'ZFP36L2', 'RPL32', 'RPL3', 'EEF1D', 'LSP1', 'CXCR4', 'RPS6', 'TMIGD2', 'PTMA', 'RPS4X', 'RPS25', 'MALAT1', 'ACAP1', 'RPS12', 'LCK', 'CYTIP', 'RPL4', 'CST7', 'RAC2', 'SH3BGRL3', 'RPS29', 'RPS20', 'PFN1', 'RPL34', 'RPL28', 'RPL19', 'RPL15', 'RPL27', 'GZMB', 'RPL27A', 'RPL23A', 'UBA52', 'KLRB1', 'ARPC2', 'KIR2DL4', 'RPL30', 'RPL9', 'CKLF', 'PTPRC', 'CD247', 'CCL4', 'PFDN5', 'PABPC1', 'FAU', 'HLA-B', 'RPL11', 'FYN', 'CTSW', 'RPSA', 'TRGC1', 'TRAC', 'CD2', 'RPS16', 'ALOX5AP', 'FTL', 'MT-CO1', 'MT-ND2', 'CD63', 'MT-ND4', 'MT-CYB', 'MT-CO3', 'RPS18', 'MT-CO2', 'RPL8', 'SPRY1', 'MT-ND5', 'GSTP1', 'RPS5', 'MT-ND1', 'XCL2', 'YBX1', 'PTGER2', 'MATK', 'RPL12', 'RPL7', 'RPS11', 'PPDPF', 'FAM3C', 'RHOC', 'ZFP36', 'EEF1B2', 'C9orf142', 'RPL35', 'RPL18A', 'CHCHD10', 'MT-ATP6', 'FCER1G', 'SCML4', 'TYROBP', 'ABI3', 'TPT1', 'RPL31', 'RPS17', 'RP11-640M9.1', 'GLTSCR2', 'XCL1', 'LAT2', 'TXK', 'MSH3', 'RPS8', 'RPS14', 'RPL5', 'RPS13', 'RPS23', 'RPS2', 'RPL39', 'RPL10A', 'RPL6', 'RPLP0', 'IL7R', 'RPL14', 'RPS9', 'RPL41', 'EEF2', 'RPL35A', 'RPL29', 'RPL26', 'RPS15', 'RPS7', 'RPL22', 'SARAF', 'RPL7A', 'RPS10', 'RPL18', 'RPS28', 'RACK1', 'CLDND1']"
cTNI18 (gd-like T PDCD1+),"['CCL5', 'GNLY', 'GZMA', 'GZMB', 'CD7', 'CD3D', 'NKG7', 'CD52', 'HCST', 'TMSB4X', 'B2M', 'HOPX', 'SH3BGRL3', 'IL32', 'RGS1', 'AC092580.4', 'CCL4', 'KLRD1', 'ID2', 'TRBC2', 'HLA-B', 'PRF1', 'CKLF', 'CD2', 'CD3E', 'KLRC2', 'EVL', 'ALOX5AP', 'BTG1', 'S100A4', 'CD69', 'SRGN', 'HLA-A', 'CORO1A', 'CD3G', 'ACTB', 'RARRES3', 'TRGC2', 'RAC2', 'CST7', 'PFN1', 'HLA-C', 'ARHGDIB', 'LSP1', 'CTSW', 'LCK', 'CLEC2B', 'GPR171', 'RPS27', 'ACAP1', 'ZFP36L2', 'PTPRC', 'CXCR4', 'MALAT1', 'CYTIP', 'ARPC2', 'SRP14', 'CD96', 'TRDC', 'CFL1', 'TSC22D3', 'LAG3', 'ATP5E', 'TRAC', 'PTMA', 'PTPN22', 'TIGIT', 'CD8A', 'TMA7', 'RUNX3', 'ZNF683', 'COTL1', 'HAVCR2', 'RPS19', 'CLEC2D', 'PSMB9', 'ENTPD1', 'MYL6', 'CD99', 'CYTOR', 'IFNG', 'SEPT7', 'MYL12A', 'ARF6', 'RPLP1', 'GZMH', 'KLRC1', 'APOBEC3G', 'IL2RB', 'STK17A', 'RPS29', 'VIM', 'SAMSN1', 'HLA-E', 'IL2RG', 'FYB1', 'STK17B', 'PSME1', 'ANKRD28', 'CCL3', 'CD63', 'GAPDH', 'SERF2', 'CTSD', 'HLA-DRA', 'PTMS', 'RP11-291B21.2', 'KIR2DL4', 'HLA-DRB1', 'TPI1', 'AC002331.1', 'CD74', 'LDHA', 'HLA-DPB1', 'BLOC1S1', 'CYBA', 'CLIC1', 'ACP5', 'IDH2', 'TRGC1', 'ATP5I', 'CTSA', 'ITGA1', 'GSTP1', 'HLA-DPA1', 'PGK1', 'RABAC1', 'FKBP1A', 'SRGAP3', 'LITAF', 'IVNS1ABP', 'TRG-AS1', 'HLA-DRB5', 'ARPC3', 'ITGAE', 'UBL5', 'TMSB10', 'RBPJ', 'S100A6', 'MT2A', 'JUN', 'NEAT1', 'S100A11', 'TSPO', 'CTLA4', 'PSME2', 'TNFAIP3', 'LGALS3', 'ANXA1', 'EMP3', 'SLA', 'SUB1', 'H3F3B', 'C12orf75', 'VMP1', 'DUSP4', 'RHOA', 'RAB27A', 'PDCD1', 'IQGAP1', 'HLA-DQA1', 'PHLDA1', 'POMP', 'PSMB8', 'ANXA2', 'CSF1']"
cTNI19 (gd-like T prolif),"['GZMA', 'CCL5', 'GZMB', 'CD7', 'PTMA', 'NKG7', 'CD3D', 'GNLY', 'PFN1', 'TMSB4X', 'HOPX', 'HCST', 'SH3BGRL3', 'ACTB', 'CD52', 'AC092580.4', 'STMN1', 'CORO1A', 'CKLF', 'KLRD1', 'GAPDH', 'TRBC2', 'HMGN2', 'IL32', 'CD2', 'RAC2', 'KLRC2', 'RGS1', 'CD3E', 'CFL1', 'LSP1', 'TPI1', 'ARPC2', 'COTL1', 'TRGC2', 'CCL4', 'ARHGDIB', 'RANBP1', 'CD3G', 'PRF1', 'ID2', 'ALOX5AP', 'B2M', 'RPLP1', 'EVL', 'SRP14', 'DUT', 'HMGN1', 'S100A4', 'PSMB9', 'HMGB1', 'HMGB2', 'SNRPB', 'SRGN', 'CTSW', 'SUMO2', 'TYMS', 'LCK', 'DEK', 'ATP5E', 'LDHA', 'CD69', 'CST7', 'PCLAF', 'TUBB', 'TMA7', 'H2AFZ', 'TRDC', 'IDH2', 'C9orf142', 'RARRES3', 'HLA-B', 'PCNA', 'CD96', 'CYTOR', 'CHCHD2', 'MYL6', 'SUB1', 'LAG3', 'DRAP1', 'VIM', 'CD99', 'TUBA1B', 'CLEC2B', 'LCP1', 'RAN', 'ARF6', 'PPP1CA', 'SERF2', 'PARK7', 'MZT2B', 'TIGIT', 'LY6E', 'ENO1', 'IFI16', 'PGAM1', 'SEPT7', 'FKBP1A', 'SIVA1', 'CYTIP', 'SNRPD1', 'H3F3A', 'PPIA', 'SNRPG', 'PPDPF', 'CD63', 'UQCRQ', 'SLC25A5', 'COX8A', 'MCM7', 'GSTP1', 'CARHSP1', 'C12orf75', 'YBX1', 'STRA13', 'COX5A', 'BLOC1S1', 'ANAPC11', 'MIF', 'GINS2', 'MCM5', 'SNRPE', 'ATP5G3', 'NASP', 'LSM5', 'PGK1', 'DBI', 'HLA-DRA', 'POLR2L', 'ATP5J2', 'SLBP', 'RPA3', 'PKM', 'H2AFV', 'COX7B', 'POMP', 'RBX1', 'ERH', 'LSM3', 'PSMA7', 'UQCRH', 'NDUFS6', 'NUCKS1', 'NHP2', 'CCDC167', 'MT2A', 'TMSB10', 'ANP32B', 'FABP5', 'HSPE1', 'NUDT1', 'SNRPF', 'TMEM258', 'YWHAQ', 'PSMA2', 'TMEM106C', 'LDHB', 'HNRNPF', 'HNRNPA2B1', 'PSME2', 'MZT2A', 'SRSF3', 'PSMB3', 'SOD1', 'HPRT1', 'NME1', 'NDUFA6', 'H2AFY', 'SMC2', 'HNRNPAB', 'CALM3']"
cTNI20 (PLZF+ T),"['CD7', 'CCL5', 'TRDC', 'GZMA', 'CD247', 'HOPX', 'TMSB4X', 'FCER1G', 'HCST', 'KLRB1', 'LSP1', 'IL32', 'TMIGD2', 'TYROBP', 'NKG7', 'TNFRSF18', 'CKLF', 'EVL', 'ID2', 'CD52', 'ACTB', 'CD69', 'CORO1A', 'AC092580.4', 'RAC2', 'SRGN', 'KLRC2', 'CD3E', 'GZMB', 'ARHGDIB', 'IL2RB', 'PFN1', 'GNLY', 'KLRD1', 'ALOX5AP', 'PRF1', 'RGS1', 'KIR2DL4', 'CTSW', 'ARPC2', 'RARRES3', 'B2M', 'RPLP1', 'PTMA', 'RPS19', 'ACAP1', 'CYTIP', 'LCK', 'KLRC1', 'GPR171', 'CD96', 'TRBC2', 'TXK', 'ENTPD1', 'CFL1', 'LCP1', 'BTG1', 'STK17A', 'FYN', 'ARF6', 'RPS27', 'HLA-B', 'CLEC2B', 'TRG-AS1', 'SH3BGRL3', 'PTPRC', 'CST7', 'CD160', 'HLA-A', 'RUNX3', 'ZFP36L2', 'ITM2A', 'PPP1R18', 'CD99', 'MYL12A', 'GYPC', 'CCND2', 'IFITM2', 'MATK', 'SYTL3', 'RPS15A', 'ACTG1', 'TRAC', 'KRT81', 'TBC1D10C', 'LAT2', 'GIMAP7', 'ZFP36', 'ABI3', 'SEPT7', 'OSTF1', 'PABPC1', 'STARD3NL', 'KRT86', 'ACTR3', 'ITGA1', 'PIP4K2A', 'RPSA', 'TRAPPC1', 'ARPC1B', 'GSTP1', 'CD63', 'CTSD', 'CAPG', 'TPI1', 'PCID2', 'MPG', 'SLC16A3', 'PHYKPL', 'H3F3A', 'S100A13', 'CXXC5', 'SH2D1B', 'GAPDH', 'LGALS1', 'RHOC', 'POLR2L', 'YBX1', 'SLC25A39', 'PRELID1', 'MIF', 'CLIC3', 'PRDX5', 'SPRY1', 'ZBTB16', 'CEBPD', 'SEC11A', 'SERF2', 'C11orf31', 'NSMCE1', 'RP11-511P7.2', 'TGFB1', 'FGR', 'ITGAE', 'CCDC69', 'SLC25A5', 'NDFIP2', 'LDLRAD4', 'PTPN6', 'ECH1', 'GPR34', 'NDUFS8', 'ADGRG3', 'RPS27A', 'RPL34', 'RPL13', 'RPL30', 'RPL9', 'EEF1A1', 'RPL19', 'RPL10', 'RPL35A', 'TPT1', 'RPS6', 'RPL18A', 'RPS3A', 'RPS18', 'RPL12', 'RPL26', 'RPL32', 'RPL21', 'RPL11', 'RPS12', 'FTL', 'RPS11', 'RPL39', 'RPS28', 'RPL41', 'RPS24', 'RPS13', 'RPS14', 'RPL13A', 'RPL27', 'RPL3', 'RPL10A', 'RPL36', 'RPLP2', 'RPL6', 'RPL5', 'RPL8', 'RPS23', 'RPL27A', 'RPL37']"
cTNI21 (PLZF+ T prolif),"['STMN1', 'HMGB2', 'TUBB', 'HMGN2', 'TUBA1B', 'H2AFZ', 'HMGB1', 'TRDC', 'CD7', 'GZMA', 'H2AFV', 'SMC4', 'PTMA', 'HIST1H4C', 'TYMS', 'HOPX', 'CCL5', 'NUSAP1', 'CD247', 'UBE2C', 'ACTB', 'MKI67', 'PCLAF', 'CKS1B', 'CORO1A', 'RAC2', 'NKG7', 'TOP2A', 'BIRC5', 'LSP1', 'H2AFX', 'CKLF', 'CALM3', 'PFN1', 'NUCKS1', 'TMSB4X', 'ARPC2', 'DEK', 'CFL1', 'HMGN1', 'ANP32B', 'ARHGDIB', 'KLRD1', 'ID2', 'CENPF', 'CKS2', 'ANP32E', 'EVL', 'HNRNPA2B1', 'VIM', 'UBE2S', 'MAD2L1', 'CDK1', 'GZMB', 'AURKB', 'TMPO', 'RAN', 'HCST', 'GNLY', 'LCP1', 'MZT2B', 'KIR2DL4', 'AC092580.4', 'TRBC2', 'CD3E', 'ZWINT', 'PRF1', 'CLEC2B', 'KLRC2', 'UBB', 'CCNA2', 'SMC2', 'SUMO2', 'IFI16', 'ARF6', 'DUT', 'ACTG1', 'CARHSP1', 'TMIGD2', 'RRM2', 'BUB3', 'CD69', 'ASPM', 'SEPT7', 'PSMB9', 'TUBB4B', 'PTTG1', 'GPR171', 'CDKN3', 'CD96', 'IL2RB', 'PPP1CA', 'SKA2', 'LCK', 'MAD2L2', 'CTSW', 'SRSF3', 'ASF1B', 'GTSE1', 'CYTIP', 'H3F3A', 'CALM2', 'SLC25A5', 'TPX2', 'COX8A', 'KPNA2', 'FCER1G', 'DTYMK', 'KIF22', 'UBE2T', 'TPI1', 'HN1', 'TYROBP', 'CENPW', 'GSTP1', 'CENPA', 'RHEB', 'RAD21', 'SPC25', 'DLGAP5', 'TMEM106C', 'PCNA', 'YBX1', 'DDX39A', 'PPIA', 'GAPDH', 'LDHA', 'CENPM', 'SIVA1', 'TK1', 'SNRPD1', 'ARL6IP1', 'LSM5', 'ANAPC11', 'LMNB1', 'KIF20B', 'H2AFY', 'LSM4', 'CCNB2', 'TUBA1C', 'TACC3', 'MXD3', 'CDCA8', 'KIFC1', 'CCDC34', 'C12orf75', 'YWHAH', 'NDC80', 'NUDT1', 'HMMR', 'CDCA5', 'CDC25B', 'CDCA3', 'HMGB3', 'NUF2', 'RACGAP1', 'MZT1', 'GGH', 'CDKN2D', 'PHF19', 'CENPN', 'SAC3D1', 'CDKN2C']"
cTNI22 (cTNI22),"['GNLY', 'NKG7', 'CCL5', 'GZMH', 'CCL4', 'B2M', 'CST7', 'GZMB', 'CD52', 'PRF1', 'HCST', 'RPS27', 'HLA-B', 'MALAT1', 'GZMA', 'KLRD1', 'CD3D', 'IL32', 'S100A4', 'CXCR4', 'BTG1', 'TMSB4X', 'TSC22D3', 'HLA-C', 'HLA-A', 'TRBC2', 'IFITM2', 'RPS27A', 'FGFBP2', 'RPL23A', 'CD2', 'SRGN', 'HLA-E', 'SH3BGRL3', 'CD3E', 'RPS29', 'PTPRC', 'ID2', 'ANXA1', 'ZFP36L2', 'TXNIP', 'RPS15A', 'ARHGDIB', 'HOPX', 'CTSW', 'RPS3', 'PPP2R5C', 'RPS25', 'CD3G', 'CD69', 'MYL12A', 'EMP3', 'RPL30', 'GZMM', 'CORO1A', 'RPS14', 'RPL34', 'DUSP2', 'RPL21', 'RARRES3', 'KLF2', 'TRGC2', 'EVL', 'FAU', 'RPL10', 'EIF1', 'RPS12', 'RPL14', 'CD48', 'IL7R', 'RPL3', 'RPL27A', 'RPLP2', 'ARL4C', 'CLEC2B', 'AC092580.4', 'RPL26', 'RAC2', 'APOBEC3G', 'CYTIP', 'PFN1', 'GIMAP7', 'GMFG', 'H3F3B', 'TMA7', 'ITGB2', 'RPL27', 'CD7', 'CD8A', 'RPL36AL', 'RPS19', 'CD99', 'LYAR', 'GIMAP4', 'RPL35A', 'MYO1F', 'TOMM7', 'RPL6', 'CLEC2D', 'CD247', 'S100A6', 'TMSB10', 'S100A10', 'LITAF', 'PLAC8', 'LGALS1', 'C12orf75', 'KLRG1', 'CYBA', 'FCGR3A', 'TOB1', 'ITGB1', 'CMC1', 'ZEB2', 'NEAT1', 'FLNA', 'KLRF1', 'IER2', 'AHNAK', 'PTGER2', 'PLEK', 'RPS21', 'SAMD3', 'DSTN', 'RPS24', 'RIPOR2', 'BIN2', 'TPST2', 'XBP1', 'C1orf21', 'RPL38', 'RPL31', 'RAP1B', 'S1PR5', 'CCND3', 'SPON2', 'EFHD2', 'ADRB2', 'RP11-640M9.1', 'MYBL1', 'MATK', 'CD44', 'RPS7', 'RP11-622O11.2', 'RPL39', 'RPL11', 'RPL36', 'RPS16', 'RPS20', 'RPS2', 'RPS18', 'CD8B', 'RPL32', 'TRAC', 'RPL18A', 'RPL13A', 'RPS15', 'RPL13', 'RPL41', 'RPS6', 'RPS4X', 'RPL35', 'RPS8', 'RPL19', 'RPS28', 'RPL36A', 'EEF1A1', 'RPL28', 'RPS10', 'RPL4', 'RPSA', 'SPOCK2', 'CD6', 'VIM', 'LAPTM5', 'UBA52', 'RPL7', 'SIT1', 'C12orf57']"
cTNI23 (NK CD16A+),"['NKG7', 'GNLY', 'KLRD1', 'GZMB', 'CCL4', 'PRF1', 'CST7', 'B2M', 'GZMA', 'SRGN', 'KLRF1', 'CCL5', 'BTG1', 'MALAT1', 'FGFBP2', 'TYROBP', 'KLRB1', 'CD247', 'CD7', 'HLA-C', 'FCGR3A', 'HCST', 'HLA-B', 'HLA-A', 'CCL3', 'CTSW', 'ID2', 'HOPX', 'GZMH', 'HLA-E', 'SPON2', 'TXNIP', 'TMSB4X', 'CD69', 'IFITM2', 'DUSP2', 'CXCR4', 'H3F3B', 'CLIC3', 'TRDC', 'TSC22D3', 'MYL12A', 'FCER1G', 'ARL4C', 'EVL', 'CYBA', 'ITGB2', 'GZMM', 'EIF1', 'PLAC8', 'KLF2', 'RARRES3', 'PFN1', 'ARPC2', 'CORO1A', 'S100A4', 'CLEC2B', 'CMC1', 'PTPRC', 'PYHIN1', 'ARHGDIB', 'CYTIP', 'RAC2', 'TXK', 'ZEB2', 'CD53', 'PPP2R5C', 'GIMAP7', 'MATK', 'ANXA1', 'DDX5', 'ZFP36L2', 'PNRC1', 'GNG2', 'DDIT4', 'RPS27', 'IL2RB', 'BIN2', 'DUSP1', 'GPR65', 'RAP1B', 'SYTL3', 'LIMD2', 'SLA', 'APOBEC3G', 'MYO1F', 'ZFP36', 'IKZF1', 'CD99', 'LCP1', 'EMP3', 'LSP1', 'FYN', 'LITAF', 'CHST12', 'CCND3', 'S1PR5', 'IER2', 'EFHD2', 'NEAT1', 'PLEK', 'IGFBP7', 'XBP1', 'C1orf21', 'CEBPD', 'UBB', 'TMSB10', 'NR4A2', 'SH2D1B', 'APMAP', 'FOS', 'AKR1C3', 'MAPK1', 'CX3CR1', 'ABHD17A', 'ADGRG1', 'CD300A', 'C1orf162', 'TTC38', 'IRF1', 'FGR', 'PTGDR', 'GADD45B', 'C12orf75', 'BTG2', 'TGFB1', 'RP11-622O11.2', 'TLE4', 'SAMD3', 'CDC42SE1', 'TBX21', 'CREM', 'ICAM2', 'MYOM2', 'SERF2', 'PTGDS', 'FLNA', 'SH3BP5', 'PRSS23', 'AES', 'BPGM', 'CALM1', 'PRDM1', 'CHST2', 'NCR3', 'CTSC', 'UPP1', 'TCF25', 'HIPK2', 'IVNS1ABP', 'PTPN4']"
cTNI24 (NK GZMK+),"['NKG7', 'KLRD1', 'GZMA', 'CCL4', 'CCL5', 'CD7', 'TRDC', 'TYROBP', 'HCST', 'CXCR4', 'GNLY', 'GZMB', 'SRGN', 'BTG1', 'PRF1', 'KLRC1', 'CD69', 'HOPX', 'CST7', 'CTSW', 'KLRB1', 'EVL', 'FCER1G', 'ZFP36L2', 'TMSB4X', 'IFITM2', 'IL2RB', 'CD247', 'ID2', 'GZMK', 'CORO1A', 'CCL3', 'CLEC2B', 'B2M', 'DUSP2', 'APOBEC3G', 'HLA-B', 'HLA-A', 'KLRF1', 'TSC22D3', 'MALAT1', 'LSP1', 'ZFP36', 'PTPRC', 'TXK', 'RARRES3', 'RGS1', 'ALOX5AP', 'MATK', 'CLIC3', 'CMC1', 'RPS27', 'DUSP1', 'H3F3B', 'MYL12A', 'ACAP1', 'ARHGDIB', 'LY6E', 'STK17A', 'CYTIP', 'HLA-C', 'CD96', 'RAC2', 'HLA-E', 'TNFRSF18', 'SEPT7', 'ACTB', 'DDIT4', 'LCP1', 'XCL2', 'CEBPD', 'TXNIP', 'PFN1', 'SOCS1', 'DDX5', 'CD44', 'CHST12', 'RUNX3', 'CTD-3252C9.4', 'EIF3G', 'GZMM', 'SYTL3', 'CKLF', 'GZMH', 'EIF1', 'KLRC2', 'FYN', 'RPS15A', 'CD2', 'TMIGD2', 'AC092580.4', 'SAMSN1', 'GIMAP7', 'CD53', 'ETS1', 'WIPF1', 'TGFB1', 'LIMD2', 'TRBC2', 'RPS27A', 'CD63', 'GSTP1', 'MAPK1', 'FOS', 'IER2', 'CTSD', 'LITAF', 'CD81', 'ITM2C', 'FCGR3A', 'EOMES', 'XCL1', 'RP11-511P7.2', 'SH2D1B', 'CLDND1', 'LAT2', 'MT-CO1', 'ADGRE5', 'KRT81', 'ITGB1', 'CD160', 'NR4A2', 'KRT86', 'STARD3NL', 'GLIPR2', 'RP11-640M9.1', 'PIK3R1', 'AREG', 'MT-ND4', 'SAMD3', 'MT-ND3', 'MCTP2', 'FAM49B', 'MT-ATP6', 'ADGRG3', 'UBB', 'MT-CO3', 'VPS37B', 'MT-CO2', 'SLC16A3', 'COTL1', 'ITGA1', 'HLA-DRA', 'ACP5', 'GAPDH', 'MT-CYB', 'PDCD4', 'KIR2DL4', 'RPLP1', 'LDLRAD4', 'CD74', 'MT-RNR1', 'MT-RNR2', 'ITGAE', 'MT-ND1', 'VIM', 'CAPG', 'CYTOR', 'SPRY1', 'IKZF3', 'PHYKPL', 'HLA-DRB1', 'PTMS', 'BST2', 'NDFIP2', 'HMGN1', 'SH2D1A', 'DUSP4', 'MT-ND5', 'CCND2', 'PTPN22', 'CLIC1', 'ENTPD1', 'GLIPR1', 'ATP5E', 'LGALS3', 'ELOB', 'ARHGAP9', 'IFI27L2', 'PRDX6']"
cTNI25 (NK XCL1+),"['GNLY', 'KLRD1', 'NKG7', 'KLRC1', 'ZFP36L2', 'BTG1', 'CD7', 'DUSP2', 'XCL1', 'XCL2', 'CTSW', 'TYROBP', 'IFITM2', 'SRGN', 'RPS27', 'ID2', 'TRDC', 'TSC22D3', 'CMC1', 'CD69', 'HOPX', 'CXCR4', 'RPS27A', 'B2M', 'FOS', 'RPS15A', 'HCST', 'KLRB1', 'RPS24', 'RPL10', 'FCER1G', 'MALAT1', 'RPL34', 'TXNIP', 'KLRF1', 'RPL23A', 'RPS14', 'DUSP1', 'RPS19', 'EEF1A1', 'RPS3', 'HLA-A', 'GZMB', 'IL7R', 'RPLP2', 'CD44', 'IL2RB', 'RPL13', 'RPL41', 'HLA-B', 'CD2', 'TXK', 'RPS25', 'RPS3A', 'FAU', 'RPLP1', 'CD52', 'TMSB4X', 'RPS29', 'HLA-C', 'RPL21', 'PRF1', 'RPL15', 'RPL27A', 'EVL', 'CTD-3252C9.4', 'RPL27', 'RPL26', 'RPS12', 'MATK', 'RPL10A', 'RPL13A', 'CCL5', 'RPL3', 'NFKBIA', 'CST7', 'TNFRSF18', 'RPL30', 'RPL19', 'H3F3B', 'RPL32', 'RPL14', 'ZFP36', 'CLEC2B', 'RPL28', 'RPSA', 'SELL', 'RPL31', 'RPS23', 'RPL9', 'RP11-511P7.2', 'RPS7', 'SOCS1', 'RPL37', 'RPL35A', 'DDIT4', 'RPS4X', 'TNFAIP3', 'FXYD5', 'RPS28', 'IFITM3', 'PLAC8', 'CEBPD', 'RPL37A', 'KLF2', 'AREG', 'RPS18', 'CD55', 'RPS5', 'IER2', 'RPL7', 'RPS2', 'CD63', 'CD300A', 'RPL35', 'EEF1B2', 'GZMK', 'C1orf162', 'RPL7A', 'TPT1', 'GSTP1', 'SH2D1B', 'RPS9', 'RPLP0', 'REL', 'XBP1', 'RPS6', 'RPL29', 'RPS8', 'RPL8', 'RPL12', 'RPL11', 'RPL39', 'RPL18A', 'RPS13', 'RPS15', 'RPL18', 'RPL36A', 'RPL23', 'GPR183', 'RPL36', 'RPL4', 'RACK1', 'RPL5', 'RPL24', 'RPS17', 'RPS10', 'RPL6', 'COTL1', 'RPS16', 'PABPC1', 'RPL38', 'RPS21', 'TMEM123', 'HNRNPA1', 'HINT1', 'GLTSCR2']"
cTNI26 (ILC3),"['KLRB1', 'IL7R', 'LTB', 'LST1', 'CXCR4', 'NFKBIA', 'EEF1A1', 'CD69', 'FXYD5', 'TSC22D3', 'BTG1', 'FOS', 'CD52', 'ID2', 'RPS27A', 'ZFP36L2', 'RPLP1', 'TPT1', 'TYROBP', 'RPS3A', 'RPL13', 'B2M', 'DUSP1', 'RPL34', 'TNFAIP3', 'CIRBP', 'RPL10', 'SRGN', 'RPS15A', 'RPS27', 'SPINK2', 'ZFP36', 'MALAT1', 'TNFRSF18', 'RPL3', 'RPL15', 'RPL32', 'HLA-B', 'ZFP36L1', 'KRT86', 'RPL11', 'RPL9', 'RPS23', 'H3F3B', 'PNRC1', 'TNFSF13B', 'HLA-A', 'BST2', 'KRT81', 'TMIGD2', 'RPL14', 'TNFRSF25', 'RPS12', 'RPL4', 'HNRNPA1', 'JUNB', 'DDX5', 'CTD-3252C9.4', 'RPS13', 'ITM2B', 'RPS4X', 'S100A4', 'RPS14', 'XCL1', 'EEF1D', 'RPL30', 'RPL21', 'CD2', 'RPS24', 'PRMT9', 'RPL35A', 'NAP1L1', 'RPL5', 'IL4I1', 'CD7', 'SEC11A', 'RPL19', 'RPL26', 'RPS6', 'RPL6', 'RPL10A', 'PFDN5', 'DUSP2', 'TNFRSF4', 'SRSF5', 'IER2', 'EIF1', 'PCDH9', 'AREG', 'TRDC', 'TLE1', 'SARAF', 'SLA', 'SPOCK2', 'RORA', 'RPS25', 'BTG2', 'ARHGDIB', 'RPL7', 'CTSW', 'FOSB', 'GSN', 'CAT', 'MPG', 'H2AFY', 'RPL8', 'KIT', 'FCER1G', 'TIMP1', 'NCOA7', 'LTA4H', 'PRR5', 'HMGN3', 'ALDOC', 'PRPF6', 'TMEM123', 'TCF7', 'SPRY1', 'RPS5', 'PEBP1', 'RPS9', 'TNFSF11', 'IGKC', 'HERPUD1', 'CD164', 'VIMP', 'IGHA1', 'EEF1B2', 'EGR1', 'IL23R', 'CTSH', 'AQP3', 'NR4A1', 'SRI']"
cS01 (Endo arterial),"['CAV1', 'SRGN', 'SRP14', 'ICAM2', 'TM4SF1', 'KCTD12', 'HLA-E', 'CLU', 'IFI27', 'CLDN5', 'CLEC14A', 'LTC4S', 'RAMP2', 'B2M', 'GIMAP4', 'C10orf10', 'IFI6', 'BST2', 'HLA-B', 'CAPZA2', 'TXNIP', 'RHOB', 'SEMA3G', 'ID1', 'IFI44L', 'EPAS1', 'PTPRB', 'STOM', 'HLA-C', 'SLC9A3R2', 'TSPAN2', 'RNASE1', 'TMSB4X', 'SERPINE2', 'CD74', 'SOX17', 'TSC22D1', 'HEY1', 'GIMAP7', 'DUSP1', 'FAM107A', 'KLF2', 'GABARAPL2', 'PDCD4', 'TMEM100', 'HLA-A', 'TAGLN2', 'FBLN2', 'PCSK5', 'GAS6', 'IFITM3', 'NPDC1', 'ISG15', 'HSPB1', 'TNFSF10', 'EFNB2', 'GIMAP1', 'VIM', 'PALMD', 'TSPAN7', 'JAM2', 'MGST2', 'CD320', 'SULF1', 'SEPW1', 'CD9', 'ARL15', 'CRIP2', 'PLLP', 'TMSB10', 'PPA1', 'MX1', 'ATP1A1', 'PODXL', 'GJA5', 'EGFL7', 'TIMP3', 'MMRN2', 'GSN', 'LIFR', 'GFOD1', 'EMP2', 'SNHG7', 'IGFBP3', 'MECOM', 'ARL6IP1', 'BCAM', 'CAV2', 'IFITM1', 'MTUS1', 'S100A6', 'CFAP36', 'NRN1', 'APOL3', 'LRRFIP1', 'PLPP1', 'JAG1', 'SYNPO', 'LMO2', 'LTBP4', 'FTH1', 'FBLN5', 'FN1', 'ADIRF', 'ABI3BP', 'ELN', 'EMP3', 'GPX3', 'MGP', 'BTG2', 'CXCL12', 'FHL1', 'GUCY1A3', 'SERPING1', 'STEAP1', 'IFIT1', 'ANXA3', 'GADD45A', 'BMX', 'GLUL', 'MT2A']"
